sample,group,short_reads_1,short_reads_2,long_reads,short_reads_platform,long_reads_platform
50918036C_HPSID_002_L1,0,/scratch/pawsey1172/nghiaagent/roche_fastq/reads/50918036C_HPSID_002_L1_other.fq.gz,,,ILLUMINA,
50918124C_HPSID_004_L1,0,/scratch/pawsey1172/nghiaagent/roche_fastq/reads/50918124C_HPSID_004_L1_other.fq.gz,,,ILLUMINA,
