metric_name	Entire Run	50918036C_HPSID_002_L1	50918124C_HPSID_004_L1	50918402C_HPSID_005_L1	50918538C_HPSID_006_L1	50918870C_HPSID_007_L1	50918871C_HPSID_008_L1	50918872C_HPSID_010_L1	50918873C_HPSID_011_L1	50919226C_HPSID_012_L1	50919228C_HPSID_013_L1	50919229C_HPSID_014_L1	50919232C_HPSID_015_L1	50919286C_HPSID_016_L1	50919291C_HPSID_017_L1	50919762C_HPSID_018_L1	50919764C_HPSID_019_L1	50919765C_HPSID_020_L1	50921887C_HPSID_021_L1	50921888C_HPSID_022_L1	50921890C_HPSID_023_L1	50921891C_HPSID_024_L1	50921894C_HPSID_025_L1	50922308C_HPSID_026_L1	50922842C_HPSID_027_L1	50922843C_HPSID_028_L1	50922845C_HPSID_029_L1	50923318C_HPSID_030_L1	50923325C_HPSID_031_L1	50923326C_HPSID_032_L1	50923328C_HPSID_033_L1	50923756C_HPSID_034_L1	50923758C_HPSID_035_L1	50923759C_HPSID_036_L1	50923760C_HPSID_037_L1	50923762C_HPSID_038_L1	50924230C_HPSID_039_L1	50924575C_HPSID_042_L1	50924582C_HPSID_043_L1	50924600C_HPSID_044_L1	50925090C_HPSID_046_L1	50925091C_HPSID_047_L1	50925093C_HPSID_048_L1	50925096C_HPSID_050_L1	50925512C_HPSID_051_L1	50925513C_HPSID_052_L1	50925514C_HPSID_053_L1
alignment_metrics/deduped_autosomes/accuracy/hp_errors/G/25/mean_spanning_coverage	NA	6	7	19	17	8	10	6	27	4	11	11	20	9	0	13	9	11	9	4	20	4	16	11	19	4	9	15	15	9	11	14	14	17	13	9	10	31	12	9	14	7	15	15	16	24	19
alignment_metrics/deduped_autosomes/accuracy/hp_errors/G/25/percentage_discordant	NA	31.250000%	21.428571%	41.379310%	31.034483%	46.153846%	25.000000%	21.428571%	35.087719%	57.142857%	56.250000%	50.000000%	53.125000%	61.538462%	0.000000%	32.000000%	23.809524%	36.842105%	22.222222%	30.000000%	36.363636%	27.272727%	37.931034%	26.086957%	40.625000%	30.000000%	35.000000%	47.826087%	50.000000%	27.777778%	35.000000%	37.037037%	47.826087%	42.857143%	34.615385%	33.333333%	36.363636%	36.206897%	38.888889%	42.105263%	39.285714%	50.000000%	44.000000%	55.000000%	50.000000%	40.476190%	23.404255%
alignment_metrics/deduped_autosomes/accuracy/hp_errors/G/25/percentage_effective	NA	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%
alignment_metrics/deduped_autosomes/accuracy/hp_errors/G/25/percentage_low_quality	NA	37.500000%	50.000000%	65.517241%	58.620690%	61.538462%	50.000000%	42.857143%	47.368421%	57.142857%	68.750000%	61.111111%	62.500000%	69.230769%	0.000000%	52.000000%	42.857143%	57.894737%	50.000000%	40.000000%	60.606061%	36.363636%	55.172414%	47.826087%	59.375000%	40.000000%	45.000000%	65.217391%	62.500000%	50.000000%	55.000000%	51.851852%	60.869565%	48.571429%	50.000000%	42.857143%	45.454545%	53.448276%	66.666667%	47.368421%	50.000000%	70.000000%	60.000000%	75.000000%	72.727273%	57.142857%	40.425532%
alignment_metrics/deduped_autosomes/accuracy/hp_errors/G/25/percentage_spanning	NA	37.500000%	50.000000%	65.517241%	58.620690%	61.538462%	50.000000%	42.857143%	47.368421%	57.142857%	68.750000%	61.111111%	62.500000%	69.230769%	0.000000%	52.000000%	42.857143%	57.894737%	50.000000%	40.000000%	60.606061%	36.363636%	55.172414%	47.826087%	59.375000%	40.000000%	45.000000%	65.217391%	62.500000%	50.000000%	55.000000%	51.851852%	60.869565%	48.571429%	50.000000%	42.857143%	45.454545%	53.448276%	66.666667%	47.368421%	50.000000%	70.000000%	60.000000%	75.000000%	72.727273%	57.142857%	40.425532%
alignment_metrics/deduped_autosomes/accuracy/hp_errors/G/25/phred	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
alignment_metrics/deduped_autosomes/accuracy/hp_errors/G/25/spanning_reads	NA	6	7	19	17	8	10	6	27	4	11	11	20	9	0	13	9	11	9	4	20	4	16	11	19	4	9	15	15	9	11	14	14	17	13	9	10	31	12	9	14	7	15	15	16	24	19
alignment_metrics/deduped_autosomes/accuracy/hp_errors/G/25/total_reads	NA	16	14	29	29	13	20	14	57	7	16	18	32	13	10	25	21	19	18	10	33	11	29	23	32	10	20	23	24	18	20	27	23	35	26	21	22	58	18	19	28	10	25	20	22	42	47
alignment_metrics/deduped_autosomes/accuracy/hp_errors/G/26/deletion_error_rate	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
alignment_metrics/deduped_autosomes/accuracy/hp_errors/G/26/discordant_reads	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alignment_metrics/deduped_autosomes/accuracy/hp_errors/G/26/effective_reads	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alignment_metrics/deduped_autosomes/accuracy/hp_errors/G/26/effective_reads_with_deletion	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alignment_metrics/deduped_autosomes/accuracy/hp_errors/G/26/effective_reads_with_insertion	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alignment_metrics/deduped_autosomes/accuracy/hp_errors/G/26/effective_reads_with_substitution	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alignment_metrics/deduped_autosomes/accuracy/hp_errors/G/26/hp_count	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alignment_metrics/deduped_autosomes/accuracy/hp_errors/G/26/indel_error_rate	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
alignment_metrics/deduped_autosomes/accuracy/hp_errors/G/26/insertion_error_rate	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
alignment_metrics/deduped_autosomes/accuracy/hp_errors/G/26/low_quality_reads	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alignment_metrics/deduped_autosomes/accuracy/hp_errors/G/26/mean_effective_coverage	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
alignment_metrics/deduped_autosomes/accuracy/hp_errors/G/26/mean_spanning_coverage	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
alignment_metrics/deduped_autosomes/accuracy/hp_errors/G/26/percentage_discordant	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
alignment_metrics/deduped_autosomes/accuracy/hp_errors/G/26/percentage_effective	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
alignment_metrics/deduped_autosomes/accuracy/hp_errors/G/26/percentage_low_quality	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
alignment_metrics/deduped_autosomes/accuracy/hp_errors/G/26/percentage_spanning	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
alignment_metrics/deduped_autosomes/accuracy/hp_errors/G/26/phred	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
alignment_metrics/deduped_autosomes/accuracy/hp_errors/G/26/spanning_reads	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alignment_metrics/deduped_autosomes/accuracy/hp_errors/G/26/total_reads	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alignment_metrics/deduped_autosomes/accuracy/hp_errors/G/27/deletion_error_rate	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
alignment_metrics/deduped_autosomes/accuracy/hp_errors/G/27/discordant_reads	NA	29	27	32	41	29	15	11	80	24	15	19	38	23	20	31	35	29	20	25	35	24	49	33	26	23	24	21	47	41	28	39	33	47	31	24	22	63	14	20	29	14	32	21	21	50	47
alignment_metrics/deduped_autosomes/accuracy/hp_errors/G/27/effective_reads	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alignment_metrics/deduped_autosomes/accuracy/hp_errors/G/27/effective_reads_with_deletion	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alignment_metrics/deduped_autosomes/accuracy/hp_errors/G/27/effective_reads_with_insertion	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alignment_metrics/deduped_autosomes/accuracy/hp_errors/G/27/effective_reads_with_substitution	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alignment_metrics/deduped_autosomes/accuracy/hp_errors/G/27/hp_count	NA	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
alignment_metrics/deduped_autosomes/accuracy/hp_errors/G/27/indel_error_rate	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
alignment_metrics/deduped_autosomes/accuracy/hp_errors/G/27/insertion_error_rate	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
alignment_metrics/deduped_autosomes/accuracy/hp_errors/G/27/low_quality_reads	NA	42	36	39	61	36	23	22	116	33	21	29	52	34	24	40	47	39	33	38	52	28	63	43	45	26	38	29	57	53	35	60	40	64	37	38	35	98	23	27	34	23	60	42	32	71	72
alignment_metrics/deduped_autosomes/accuracy/hp_errors/G/27/mean_effective_coverage	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alignment_metrics/deduped_autosomes/accuracy/hp_errors/G/27/mean_spanning_coverage	NA	14	12	13	20	12	8	7	39	11	7	10	17	11	8	13	16	13	11	13	17	9	21	14	15	9	13	10	19	18	12	20	13	21	12	13	12	33	8	9	11	8	20	14	11	24	24
alignment_metrics/deduped_autosomes/accuracy/hp_errors/G/27/percentage_discordant	NA	43.939394%	51.923077%	44.444444%	39.047619%	40.277778%	36.585366%	26.829268%	40.000000%	48.979592%	37.500000%	33.928571%	42.222222%	44.230769%	40.000000%	45.588235%	46.052632%	38.666667%	35.714286%	43.859649%	38.043478%	33.333333%	44.954128%	41.772152%	37.681159%	54.761905%	32.432432%	36.206897%	55.294118%	58.571429%	41.176471%	38.235294%	50.769231%	46.534653%	48.437500%	36.923077%	32.835821%	34.426230%	29.166667%	41.666667%	51.785714%	30.434783%	32.989691%	27.631579%	33.333333%	40.983607%	41.592920%
alignment_metrics/deduped_autosomes/accuracy/hp_errors/G/27/percentage_effective	NA	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%
alignment_metrics/deduped_autosomes/accuracy/hp_errors/G/27/percentage_low_quality	NA	63.636364%	69.230769%	54.166667%	58.095238%	50.000000%	56.097561%	53.658537%	58.000000%	67.346939%	52.500000%	51.785714%	57.777778%	65.384615%	48.000000%	58.823529%	61.842105%	52.000000%	58.928571%	66.666667%	56.521739%	38.888889%	57.798165%	54.430380%	65.217391%	61.904762%	51.351351%	50.000000%	67.058824%	75.714286%	51.470588%	58.823529%	61.538462%	63.366337%	57.812500%	58.461538%	52.238806%	53.551913%	47.916667%	56.250000%	60.714286%	50.000000%	61.855670%	55.263158%	50.793651%	58.196721%	63.716814%
alignment_metrics/deduped_autosomes/accuracy/hp_errors/G/27/percentage_spanning	NA	63.636364%	69.230769%	54.166667%	58.095238%	50.000000%	56.097561%	53.658537%	58.000000%	67.346939%	52.500000%	51.785714%	57.777778%	65.384615%	48.000000%	58.823529%	61.842105%	52.000000%	58.928571%	66.666667%	56.521739%	38.888889%	57.798165%	54.430380%	65.217391%	61.904762%	51.351351%	50.000000%	67.058824%	75.714286%	51.470588%	58.823529%	61.538462%	63.366337%	57.812500%	58.461538%	52.238806%	53.551913%	47.916667%	56.250000%	60.714286%	50.000000%	61.855670%	55.263158%	50.793651%	58.196721%	63.716814%
alignment_metrics/deduped_autosomes/accuracy/hp_errors/G/27/phred	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
alignment_metrics/deduped_autosomes/accuracy/hp_errors/G/27/spanning_reads	NA	42	36	39	61	36	23	22	116	33	21	29	52	34	24	40	47	39	33	38	52	28	63	43	45	26	38	29	57	53	35	60	40	64	37	38	35	98	23	27	34	23	60	42	32	71	72
alignment_metrics/deduped_autosomes/accuracy/hp_errors/G/27/total_reads	NA	66	52	72	105	72	41	41	200	49	40	56	90	52	50	68	76	75	56	57	92	72	109	79	69	42	74	58	85	70	68	102	65	101	64	65	67	183	48	48	56	46	97	76	63	122	113
alignment_metrics/deduped_autosomes/accuracy/hp_errors/G/28/deletion_error_rate	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
alignment_metrics/deduped_autosomes/accuracy/hp_errors/G/28/discordant_reads	NA	5	13	11	14	15	12	12	35	4	18	10	13	16	5	10	14	13	8	12	19	10	23	8	13	7	12	20	17	16	10	9	14	20	10	13	19	28	14	11	8	8	15	12	18	21	22
alignment_metrics/deduped_autosomes/accuracy/hp_errors/G/28/effective_reads	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alignment_metrics/deduped_autosomes/accuracy/hp_errors/G/28/effective_reads_with_deletion	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alignment_metrics/deduped_autosomes/accuracy/hp_errors/G/28/effective_reads_with_insertion	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alignment_metrics/deduped_autosomes/accuracy/hp_errors/G/28/effective_reads_with_substitution	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alignment_metrics/deduped_autosomes/accuracy/hp_errors/G/28/hp_count	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
alignment_metrics/deduped_autosomes/accuracy/hp_errors/G/28/indel_error_rate	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
alignment_metrics/deduped_autosomes/accuracy/hp_errors/G/28/insertion_error_rate	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
alignment_metrics/deduped_autosomes/accuracy/hp_errors/G/28/low_quality_reads	NA	13	16	19	23	23	15	15	55	11	23	13	24	18	6	15	24	18	10	19	26	11	34	16	19	8	17	28	25	20	18	15	18	26	16	15	25	42	17	12	14	10	25	18	23	30	39
alignment_metrics/deduped_autosomes/accuracy/hp_errors/G/28/mean_effective_coverage	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alignment_metrics/deduped_autosomes/accuracy/hp_errors/G/28/mean_spanning_coverage	NA	13	16	19	23	23	15	15	55	11	23	13	24	18	6	15	24	18	10	19	26	11	34	16	19	8	17	28	25	20	18	15	18	26	16	15	25	42	17	12	14	10	25	18	23	30	39
alignment_metrics/deduped_autosomes/accuracy/hp_errors/G/28/percentage_discordant	NA	12.500000%	24.074074%	21.153846%	13.592233%	26.785714%	25.531915%	27.272727%	17.948718%	12.500000%	34.615385%	27.777778%	15.476190%	35.555556%	14.705882%	17.543860%	22.950820%	16.250000%	14.035088%	22.641509%	25.000000%	23.255814%	21.698113%	12.903226%	24.074074%	18.421053%	20.338983%	30.303030%	20.731707%	21.621622%	14.084507%	14.062500%	23.333333%	29.850746%	14.925373%	22.413793%	27.941176%	19.444444%	32.558140%	28.205128%	16.326531%	21.052632%	19.736842%	19.047619%	25.000000%	18.918919%	22.916667%
alignment_metrics/deduped_autosomes/accuracy/hp_errors/G/28/percentage_effective	NA	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%
alignment_metrics/deduped_autosomes/accuracy/hp_errors/G/28/percentage_low_quality	NA	32.500000%	29.629630%	36.538462%	22.330097%	41.071429%	31.914894%	34.090909%	28.205128%	34.375000%	44.230769%	36.111111%	28.571429%	40.000000%	17.647059%	26.315789%	39.344262%	22.500000%	17.543860%	35.849057%	34.210526%	25.581395%	32.075472%	25.806452%	35.185185%	21.052632%	28.813559%	42.424242%	30.487805%	27.027027%	25.352113%	23.437500%	30.000000%	38.805970%	23.880597%	25.862069%	36.764706%	29.166667%	39.534884%	30.769231%	28.571429%	26.315789%	32.894737%	28.571429%	31.944444%	27.027027%	40.625000%
alignment_metrics/deduped_autosomes/accuracy/hp_errors/G/28/percentage_spanning	NA	32.500000%	29.629630%	36.538462%	22.330097%	41.071429%	31.914894%	34.090909%	28.205128%	34.375000%	44.230769%	36.111111%	28.571429%	40.000000%	17.647059%	26.315789%	39.344262%	22.500000%	17.543860%	35.849057%	34.210526%	25.581395%	32.075472%	25.806452%	35.185185%	21.052632%	28.813559%	42.424242%	30.487805%	27.027027%	25.352113%	23.437500%	30.000000%	38.805970%	23.880597%	25.862069%	36.764706%	29.166667%	39.534884%	30.769231%	28.571429%	26.315789%	32.894737%	28.571429%	31.944444%	27.027027%	40.625000%
alignment_metrics/deduped_autosomes/accuracy/hp_errors/G/28/phred	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
alignment_metrics/deduped_autosomes/accuracy/hp_errors/G/28/spanning_reads	NA	13	16	19	23	23	15	15	55	11	23	13	24	18	6	15	24	18	10	19	26	11	34	16	19	8	17	28	25	20	18	15	18	26	16	15	25	42	17	12	14	10	25	18	23	30	39
alignment_metrics/deduped_autosomes/accuracy/hp_errors/G/28/total_reads	NA	40	54	52	103	56	47	44	195	32	52	36	84	45	34	57	61	80	57	53	76	43	106	62	54	38	59	66	82	74	71	64	60	67	67	58	68	144	43	39	49	38	76	63	72	111	96
alignment_metrics/deduped_autosomes/accuracy/hp_errors/G/29/deletion_error_rate	NA	NA	NA	NA	NA	NA	NA	NA	0.000000%	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000000%	NA	NA	NA
alignment_metrics/deduped_autosomes/accuracy/hp_errors/G/29/discordant_reads	NA	30	36	44	60	35	25	34	136	17	34	41	43	38	22	45	40	53	30	25	47	26	65	46	36	29	36	43	58	62	39	55	46	51	44	38	49	110	30	31	32	19	48	44	48	54	76
alignment_metrics/deduped_autosomes/accuracy/hp_errors/G/29/effective_reads	NA	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
alignment_metrics/deduped_autosomes/accuracy/hp_errors/G/29/effective_reads_with_deletion	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alignment_metrics/deduped_autosomes/accuracy/hp_errors/G/29/effective_reads_with_insertion	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alignment_metrics/deduped_autosomes/accuracy/hp_errors/G/29/effective_reads_with_substitution	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alignment_metrics/deduped_autosomes/accuracy/hp_errors/G/29/hp_count	NA	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
alignment_metrics/deduped_autosomes/accuracy/hp_errors/G/29/indel_error_rate	NA	NA	NA	NA	NA	NA	NA	NA	0.000000%	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000000%	NA	NA	NA
alignment_metrics/deduped_autosomes/accuracy/hp_errors/G/29/insertion_error_rate	NA	NA	NA	NA	NA	NA	NA	NA	0.000000%	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000000%	NA	NA	NA
