metric_name	Entire Run	50918036C_HPSID_002_L1	50918124C_HPSID_004_L1	50918402C_HPSID_005_L1	50918538C_HPSID_006_L1	50918870C_HPSID_007_L1	50918871C_HPSID_008_L1	50918872C_HPSID_010_L1	50918873C_HPSID_011_L1	50919226C_HPSID_012_L1	50919228C_HPSID_013_L1	50919229C_HPSID_014_L1	50919232C_HPSID_015_L1	50919286C_HPSID_016_L1	50919291C_HPSID_017_L1	50919762C_HPSID_018_L1	50919764C_HPSID_019_L1	50919765C_HPSID_020_L1	50921887C_HPSID_021_L1	50921888C_HPSID_022_L1	50921890C_HPSID_023_L1	50921891C_HPSID_024_L1	50921894C_HPSID_025_L1	50922308C_HPSID_026_L1	50922842C_HPSID_027_L1	50922843C_HPSID_028_L1	50922845C_HPSID_029_L1	50923318C_HPSID_030_L1	50923325C_HPSID_031_L1	50923326C_HPSID_032_L1	50923328C_HPSID_033_L1	50923756C_HPSID_034_L1	50923758C_HPSID_035_L1	50923759C_HPSID_036_L1	50923760C_HPSID_037_L1	50923762C_HPSID_038_L1	50924230C_HPSID_039_L1	50924575C_HPSID_042_L1	50924582C_HPSID_043_L1	50924600C_HPSID_044_L1	50925090C_HPSID_046_L1	50925091C_HPSID_047_L1	50925093C_HPSID_048_L1	50925096C_HPSID_050_L1	50925512C_HPSID_051_L1	50925513C_HPSID_052_L1	50925514C_HPSID_053_L1
alignment_metrics/deduped_autosomes/accuracy/deletion_events/phred	NA	53.11	53.49	49.42	93.00	45.43	50.10	46.56	52.53	40.82	93.00	45.42	47.08	49.69	93.00	93.00	48.04	93.00	93.00	93.00	34.62	93.00	93.00	93.00	51.61	42.91	51.64	48.07	54.36	93.00	93.00	45.06	47.67	93.00	51.73	93.00	50.26	93.00	93.00	93.00	44.32	49.25	93.00	42.06	93.00	53.06	93.00
alignment_metrics/deduped_autosomes/accuracy/hp_errors/A/10/deletion_error_rate	NA	NA	NA	NA	NA	NA	0.000000%	NA	33.333333%	33.333333%	NA	NA	NA	NA	42.857143%	NA	100.000000%	12.500000%	0.000000%	NA	0.000000%	7.142857%	100.000000%	NA	NA	30.952381%	NA	0.000000%	0.000000%	0.000000%	100.000000%	0.000000%	0.000000%	0.000000%	NA	NA	0.000000%	0.000000%	50.000000%	0.000000%	0.000000%	31.578947%	0.000000%	NA	NA	0.000000%	NA
alignment_metrics/deduped_autosomes/accuracy/hp_errors/A/10/discordant_reads	NA	4	5	14	8	3	6	6	26	42	1	4	11	1	16	5	8	9	1	6	7	9	6	6	3	33	3	6	16	1	7	6	5	5	9	10	4	14	2	3	5	15	7	4	9	13	12
alignment_metrics/deduped_autosomes/accuracy/hp_errors/A/10/effective_reads	NA	0	0	0	0	0	1	0	3	39	0	0	0	0	7	0	1	8	2	0	1	14	1	0	0	42	0	1	26	3	1	1	2	1	0	0	2	9	2	3	3	19	2	0	0	3	0
alignment_metrics/deduped_autosomes/accuracy/hp_errors/A/10/effective_reads_with_deletion	NA	0	0	0	0	0	0	0	1	13	0	0	0	0	3	0	1	1	0	0	0	1	1	0	0	13	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	6	0	0	0	0	0
alignment_metrics/deduped_autosomes/accuracy/hp_errors/A/10/effective_reads_with_insertion	NA	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
alignment_metrics/deduped_autosomes/accuracy/hp_errors/A/10/effective_reads_with_substitution	NA	0	0	0	0	0	0	0	2	19	0	0	0	0	2	0	1	0	1	0	1	0	0	0	0	18	0	0	0	0	1	0	0	0	0	0	2	0	0	1	2	12	0	0	0	0	0
alignment_metrics/deduped_autosomes/accuracy/hp_errors/A/10/hp_count	NA	96582	96582	96582	96582	96582	96582	96582	96582	96582	96582	96582	96582	96582	96582	96582	96582	96582	96582	96582	96582	96582	96582	96582	96582	96582	96582	96582	96582	96582	96582	96582	96582	96582	96582	96582	96582	96582	96582	96582	96582	96582	96582	96582	96582	96582	96582
alignment_metrics/deduped_autosomes/accuracy/hp_errors/A/10/indel_error_rate	NA	NA	NA	NA	NA	NA	0.000000%	NA	33.333333%	35.897436%	NA	NA	NA	NA	42.857143%	NA	100.000000%	12.500000%	0.000000%	NA	0.000000%	14.285714%	100.000000%	NA	NA	35.714286%	NA	0.000000%	11.538462%	0.000000%	100.000000%	0.000000%	0.000000%	0.000000%	NA	NA	0.000000%	11.111111%	50.000000%	0.000000%	0.000000%	31.578947%	0.000000%	NA	NA	33.333333%	NA
alignment_metrics/deduped_autosomes/accuracy/hp_errors/A/10/insertion_error_rate	NA	NA	NA	NA	NA	NA	0.000000%	NA	0.000000%	2.564103%	NA	NA	NA	NA	0.000000%	NA	0.000000%	0.000000%	0.000000%	NA	0.000000%	7.142857%	0.000000%	NA	NA	4.761905%	NA	0.000000%	11.538462%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	NA	NA	0.000000%	11.111111%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	NA	NA	33.333333%	NA
